2026-04-14 20:20:06.757 | INFO     | __main__:test_llm:8 - Sending prompt to LLM: What is the capital of France?
2026-04-16 14:38:24.596 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'companies innovating with AI in data science hiring', 'results_count': 4, 'duration_sec': 3.38}
2026-04-16 14:38:24.596 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'companies innovating with AI in data science hiring', 'results_count': 4}
2026-04-16 14:38:24.597 | INFO     | __main__:research_node:168 - {'event': 'research_raw_collected', 'total_results': 28}
2026-04-16 14:38:24.599 | INFO     | __main__:research_node:176 - {'event': 'llm_extraction_started', 'input_size': 28}
2026-04-16 14:38:24.599 | ERROR    | __main__:research_node:202 - {'event': 'research_node_failed', 'topic': 'AI in data science jobs', 'error': "name 'research_node_system_prompt' is not defined", 'duration_sec': 13.9}
2026-04-16 14:38:24.600 | ERROR    | __main__:research_node:209 - Traceback (most recent call last):
  File "C:\Users\sachi\OneDrive\Desktop\research_agent_backend\app\agents\research_agent.py", line 183, in research_node
    SystemMessage(content=research_node_system_prompt()),
                          ^^^^^^^^^^^^^^^^^^^^^^^^^^^
NameError: name 'research_node_system_prompt' is not defined. Did you mean: 'research_nod_system_prompt'?

2026-04-16 14:40:05.598 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 14:40:06.605 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 14:40:06.766 | INFO     | __main__:router_node:67 - {'event': 'router_node_started', 'topic': 'AI in data science jobs'}
2026-04-16 14:40:11.426 | INFO     | __main__:router_node:81 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'The impact of AI on data science jobs is a rapidly evolving landscape, with new tools, skill requirements, and job market trends emerging frequently. Up-to-date information is crucial to provide relevant insights.', 'queries': ['Current impact of AI on data science job roles', 'New skills required for data scientists due to AI advancements', 'How generative AI is changing data science workflows and tasks', 'Top AI tools and platforms adopted by data scientists in 2024', 'Future outlook for data science jobs in an AI-driven environment', 'Examples of AI automation in data science tasks and its implications', 'Demand for data scientists with AI/ML expertise in the job market', 'Salary trends for AI-influenced data science roles', 'Ethical considerations for AI in data science hiring and practice'], 'max_result_per_query': 5}}
2026-04-16 14:40:11.427 | SUCCESS  | __main__:router_node:96 - {'event': 'router_node_success', 'topic': 'AI in data science jobs', 'mode': 'hybrid', 'need_to_research': True, 'queries_count': 9, 'duration_sec': 4.66}
2026-04-16 14:40:11.428 | INFO     | __main__:research_node:135 - {'event': 'research_node_started', 'topic': 'AI in data science jobs', 'queries_count': 9}
2026-04-16 14:40:11.428 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'Current impact of AI on data science job roles'}
2026-04-16 14:40:11.428 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Current impact of AI on data science job roles', 'max_results': 5}
2026-04-16 14:40:12.762 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Current impact of AI on data science job roles', 'results_count': 4, 'duration_sec': 1.33}
2026-04-16 14:40:12.763 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'Current impact of AI on data science job roles', 'results_count': 4}
2026-04-16 14:40:12.763 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'New skills required for data scientists due to AI advancements'}
2026-04-16 14:40:12.763 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'New skills required for data scientists due to AI advancements', 'max_results': 5}
2026-04-16 14:40:17.809 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'New skills required for data scientists due to AI advancements', 'results_count': 4, 'duration_sec': 5.05}
2026-04-16 14:40:17.810 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'New skills required for data scientists due to AI advancements', 'results_count': 4}
2026-04-16 14:40:17.810 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'How generative AI is changing data science workflows and tasks'}
2026-04-16 14:40:17.810 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'How generative AI is changing data science workflows and tasks', 'max_results': 5}
2026-04-16 14:40:20.769 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'How generative AI is changing data science workflows and tasks', 'results_count': 4, 'duration_sec': 2.96}
2026-04-16 14:40:20.770 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'How generative AI is changing data science workflows and tasks', 'results_count': 4}
2026-04-16 14:40:20.770 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'Top AI tools and platforms adopted by data scientists in 2024'}
2026-04-16 14:40:20.770 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Top AI tools and platforms adopted by data scientists in 2024', 'max_results': 5}
2026-04-16 14:40:23.299 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Top AI tools and platforms adopted by data scientists in 2024', 'results_count': 4, 'duration_sec': 2.53}
2026-04-16 14:40:23.299 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'Top AI tools and platforms adopted by data scientists in 2024', 'results_count': 4}
2026-04-16 14:40:23.299 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'Future outlook for data science jobs in an AI-driven environment'}
2026-04-16 14:40:23.300 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Future outlook for data science jobs in an AI-driven environment', 'max_results': 5}
2026-04-16 14:40:24.637 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Future outlook for data science jobs in an AI-driven environment', 'results_count': 4, 'duration_sec': 1.34}
2026-04-16 14:40:24.638 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'Future outlook for data science jobs in an AI-driven environment', 'results_count': 4}
2026-04-16 14:40:24.638 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'Examples of AI automation in data science tasks and its implications'}
2026-04-16 14:40:24.638 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Examples of AI automation in data science tasks and its implications', 'max_results': 5}
2026-04-16 14:40:25.876 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Examples of AI automation in data science tasks and its implications', 'results_count': 4, 'duration_sec': 1.24}
2026-04-16 14:40:25.876 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'Examples of AI automation in data science tasks and its implications', 'results_count': 4}
2026-04-16 14:40:25.876 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'Demand for data scientists with AI/ML expertise in the job market'}
2026-04-16 14:40:25.877 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Demand for data scientists with AI/ML expertise in the job market', 'max_results': 5}
2026-04-16 14:40:27.175 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Demand for data scientists with AI/ML expertise in the job market', 'results_count': 4, 'duration_sec': 1.3}
2026-04-16 14:40:27.175 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'Demand for data scientists with AI/ML expertise in the job market', 'results_count': 4}
2026-04-16 14:40:27.176 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'Salary trends for AI-influenced data science roles'}
2026-04-16 14:40:27.176 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Salary trends for AI-influenced data science roles', 'max_results': 5}
2026-04-16 14:40:30.273 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Salary trends for AI-influenced data science roles', 'results_count': 4, 'duration_sec': 3.1}
2026-04-16 14:40:30.274 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'Salary trends for AI-influenced data science roles', 'results_count': 4}
2026-04-16 14:40:30.274 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'Ethical considerations for AI in data science hiring and practice'}
2026-04-16 14:40:30.274 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Ethical considerations for AI in data science hiring and practice', 'max_results': 5}
2026-04-16 14:40:32.388 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Ethical considerations for AI in data science hiring and practice', 'results_count': 4, 'duration_sec': 2.11}
2026-04-16 14:40:32.388 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'Ethical considerations for AI in data science hiring and practice', 'results_count': 4}
2026-04-16 14:40:32.389 | INFO     | __main__:research_node:168 - {'event': 'research_raw_collected', 'total_results': 36}
2026-04-16 14:40:32.391 | INFO     | __main__:research_node:176 - {'event': 'llm_extraction_started', 'input_size': 36}
2026-04-16 14:40:40.096 | SUCCESS  | __main__:research_node:190 - {'event': 'research_node_success', 'topic': 'AI in data science jobs', 'final_evidence_count': 5, 'duration_sec': 28.67}
2026-04-16 22:29:08.203 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-16 22:29:09.556 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-16 22:29:10.667 | INFO     | __main__:router_node:67 - {'event': 'router_node_started', 'topic': 'AI in data science jobs'}
2026-04-16 22:29:15.419 | INFO     | __main__:router_node:81 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'The landscape of AI tools and their impact on data science job roles, required skills, and industry trends is rapidly evolving. Up-to-date information is crucial to cover the current state and future outlook.', 'queries': ['impact of AI on data scientist job roles', 'new AI tools and platforms for data scientists', 'essential skills for data scientists in the era of AI', 'emerging data science job titles due to AI', 'how AI is automating data science tasks', 'future outlook for data science careers with AI advancements', 'AI ethics and governance in data science jobs', 'comparison of AI engineering vs data science job market trends'], 'max_result_per_query': 5}}
2026-04-16 22:29:15.420 | SUCCESS  | __main__:router_node:96 - {'event': 'router_node_success', 'topic': 'AI in data science jobs', 'mode': 'hybrid', 'need_to_research': True, 'queries_count': 8, 'duration_sec': 4.75}
2026-04-16 22:29:15.421 | INFO     | __main__:research_node:135 - {'event': 'research_node_started', 'topic': 'AI in data science jobs', 'queries_count': 8}
2026-04-16 22:29:15.421 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'impact of AI on data scientist job roles'}
2026-04-16 22:29:15.422 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'impact of AI on data scientist job roles', 'max_results': 5}
2026-04-16 22:29:18.390 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'impact of AI on data scientist job roles', 'results_count': 4, 'duration_sec': 2.97}
2026-04-16 22:29:18.391 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'impact of AI on data scientist job roles', 'results_count': 4}
2026-04-16 22:29:18.391 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'new AI tools and platforms for data scientists'}
2026-04-16 22:29:18.392 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'new AI tools and platforms for data scientists', 'max_results': 5}
2026-04-16 22:29:19.822 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'new AI tools and platforms for data scientists', 'results_count': 4, 'duration_sec': 1.43}
2026-04-16 22:29:19.823 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'new AI tools and platforms for data scientists', 'results_count': 4}
2026-04-16 22:29:19.823 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'essential skills for data scientists in the era of AI'}
2026-04-16 22:29:19.823 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'essential skills for data scientists in the era of AI', 'max_results': 5}
2026-04-16 22:29:23.610 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'essential skills for data scientists in the era of AI', 'results_count': 4, 'duration_sec': 3.79}
2026-04-16 22:29:23.610 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'essential skills for data scientists in the era of AI', 'results_count': 4}
2026-04-16 22:29:23.610 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'emerging data science job titles due to AI'}
2026-04-16 22:29:23.611 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'emerging data science job titles due to AI', 'max_results': 5}
2026-04-16 22:29:27.210 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'emerging data science job titles due to AI', 'results_count': 4, 'duration_sec': 3.6}
2026-04-16 22:29:27.210 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'emerging data science job titles due to AI', 'results_count': 4}
2026-04-16 22:29:27.210 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'how AI is automating data science tasks'}
2026-04-16 22:29:27.211 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'how AI is automating data science tasks', 'max_results': 5}
2026-04-16 22:29:28.834 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'how AI is automating data science tasks', 'results_count': 4, 'duration_sec': 1.62}
2026-04-16 22:29:28.834 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'how AI is automating data science tasks', 'results_count': 4}
2026-04-16 22:29:28.834 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'future outlook for data science careers with AI advancements'}
2026-04-16 22:29:28.835 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'future outlook for data science careers with AI advancements', 'max_results': 5}
2026-04-16 22:29:31.088 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'future outlook for data science careers with AI advancements', 'results_count': 4, 'duration_sec': 2.25}
2026-04-16 22:29:31.089 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'future outlook for data science careers with AI advancements', 'results_count': 4}
2026-04-16 22:29:31.089 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'AI ethics and governance in data science jobs'}
2026-04-16 22:29:31.089 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'AI ethics and governance in data science jobs', 'max_results': 5}
2026-04-16 22:29:32.444 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'AI ethics and governance in data science jobs', 'results_count': 4, 'duration_sec': 1.35}
2026-04-16 22:29:32.444 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'AI ethics and governance in data science jobs', 'results_count': 4}
2026-04-16 22:29:32.445 | INFO     | __main__:research_node:146 - {'event': 'search_query_started', 'query': 'comparison of AI engineering vs data science job market trends'}
2026-04-16 22:29:32.445 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'comparison of AI engineering vs data science job market trends', 'max_results': 5}
2026-04-16 22:29:33.955 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'comparison of AI engineering vs data science job market trends', 'results_count': 4, 'duration_sec': 1.51}
2026-04-16 22:29:33.956 | INFO     | __main__:research_node:153 - {'event': 'search_query_completed', 'query': 'comparison of AI engineering vs data science job market trends', 'results_count': 4}
2026-04-16 22:29:33.956 | INFO     | __main__:research_node:168 - {'event': 'research_raw_collected', 'total_results': 32}
2026-04-16 22:29:33.959 | INFO     | __main__:research_node:176 - {'event': 'llm_extraction_started', 'input_size': 32}
2026-04-16 22:29:38.362 | SUCCESS  | __main__:research_node:190 - {'event': 'research_node_success', 'topic': 'AI in data science jobs', 'final_evidence_count': 5, 'duration_sec': 22.94}
2026-04-17 21:59:14.759 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-17 21:59:15.876 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-17 21:59:17.450 | INFO     | __main__:router_node:92 - {'event': 'router_node_started', 'topic': 'AI in data science jobs'}
2026-04-17 21:59:22.178 | INFO     | __main__:router_node:106 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': "The topic 'AI in data science jobs' is dynamic. While foundational concepts of AI and data science are evergreen, the specific impact of AI on job roles, required skills, emerging tools, and market trends are constantly evolving. Up-to-date information is crucial to provide relevant and accurate insights.", 'queries': ['current impact of AI on data science job market', 'essential AI skills for data scientists 2024', 'new AI tools transforming data science workflows', 'future trends in AI for data science careers', 'how AI is automating data science tasks and creating new roles', 'ethical considerations of AI in data science jobs', 'data science job roles emerging due to AI advancements', 'salary trends for AI-focused data science jobs'], 'max_result_per_query': 5}}
2026-04-17 21:59:22.179 | SUCCESS  | __main__:router_node:121 - {'event': 'router_node_success', 'topic': 'AI in data science jobs', 'mode': 'hybrid', 'need_to_research': True, 'queries_count': 8, 'duration_sec': 4.73}
2026-04-17 22:04:40.988 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-17 22:04:42.046 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-17 22:04:42.219 | INFO     | __main__:router_node:92 - {'event': 'router_node_started', 'topic': 'AI in data science jobs'}
2026-04-17 22:04:46.575 | INFO     | __main__:router_node:106 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'The topic involves current trends, emerging tools, and evolving job market demands influenced by rapid advancements in AI. Up-to-date information is crucial for accuracy and relevance.', 'queries': ['impact of AI on data scientist job roles', 'new AI tools transforming data science workflows', 'essential skills for data scientists in the age of AI', 'future of data science jobs with AI automation', "AI's influence on data analysis and machine learning engineering careers", 'ethical considerations for AI in data science jobs', 'how AI is changing demand for data science skills'], 'max_result_per_query': 5}}
2026-04-17 22:04:46.576 | SUCCESS  | __main__:router_node:121 - {'event': 'router_node_success', 'topic': 'AI in data science jobs', 'mode': 'hybrid', 'need_to_research': True, 'queries_count': 7, 'duration_sec': 4.36}
2026-04-17 22:04:46.577 | INFO     | __main__:research_node:165 - {'event': 'research_node_started', 'topic': 'AI in data science jobs', 'queries_count': 7}
2026-04-17 22:04:46.577 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'impact of AI on data scientist job roles'}
2026-04-17 22:04:46.577 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'impact of AI on data scientist job roles', 'max_results': 5}
2026-04-17 22:04:50.462 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'impact of AI on data scientist job roles', 'results_count': 4, 'duration_sec': 3.89}
2026-04-17 22:04:50.463 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'impact of AI on data scientist job roles', 'results_count': 4}
2026-04-17 22:04:50.463 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'new AI tools transforming data science workflows'}
2026-04-17 22:04:50.463 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'new AI tools transforming data science workflows', 'max_results': 5}
2026-04-17 22:04:52.278 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'new AI tools transforming data science workflows', 'results_count': 4, 'duration_sec': 1.82}
2026-04-17 22:04:52.279 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'new AI tools transforming data science workflows', 'results_count': 4}
2026-04-17 22:04:52.279 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'essential skills for data scientists in the age of AI'}
2026-04-17 22:04:52.279 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'essential skills for data scientists in the age of AI', 'max_results': 5}
2026-04-17 22:04:53.600 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'essential skills for data scientists in the age of AI', 'results_count': 4, 'duration_sec': 1.32}
2026-04-17 22:04:53.600 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'essential skills for data scientists in the age of AI', 'results_count': 4}
2026-04-17 22:04:53.601 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'future of data science jobs with AI automation'}
2026-04-17 22:04:53.601 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'future of data science jobs with AI automation', 'max_results': 5}
2026-04-17 22:04:54.871 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'future of data science jobs with AI automation', 'results_count': 4, 'duration_sec': 1.27}
2026-04-17 22:04:54.871 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'future of data science jobs with AI automation', 'results_count': 4}
2026-04-17 22:04:54.872 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': "AI's influence on data analysis and machine learning engineering careers"}
2026-04-17 22:04:54.872 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': "AI's influence on data analysis and machine learning engineering careers", 'max_results': 5}
2026-04-17 22:04:57.977 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': "AI's influence on data analysis and machine learning engineering careers", 'results_count': 4, 'duration_sec': 3.1}
2026-04-17 22:04:57.977 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': "AI's influence on data analysis and machine learning engineering careers", 'results_count': 4}
2026-04-17 22:04:57.978 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'ethical considerations for AI in data science jobs'}
2026-04-17 22:04:57.978 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'ethical considerations for AI in data science jobs', 'max_results': 5}
2026-04-17 22:05:02.547 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'ethical considerations for AI in data science jobs', 'results_count': 4, 'duration_sec': 4.57}
2026-04-17 22:05:02.547 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'ethical considerations for AI in data science jobs', 'results_count': 4}
2026-04-17 22:05:02.547 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'how AI is changing demand for data science skills'}
2026-04-17 22:05:02.547 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'how AI is changing demand for data science skills', 'max_results': 5}
2026-04-17 22:05:08.091 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'how AI is changing demand for data science skills', 'results_count': 4, 'duration_sec': 5.54}
2026-04-17 22:05:08.091 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'how AI is changing demand for data science skills', 'results_count': 4}
2026-04-17 22:05:08.092 | INFO     | __main__:research_node:198 - {'event': 'research_raw_collected', 'total_results': 28}
2026-04-17 22:05:08.094 | INFO     | __main__:research_node:206 - {'event': 'llm_extraction_started', 'input_size': 28}
2026-04-17 22:05:15.625 | SUCCESS  | __main__:research_node:220 - {'event': 'research_node_success', 'topic': 'AI in data science jobs', 'final_evidence_count': 5, 'duration_sec': 29.05}
2026-04-17 22:09:00.311 | INFO     | app.services.llm.llm_manager:<module>:7 - Environment variables loaded
2026-04-17 22:09:01.389 | SUCCESS  | app.services.llm.llm_manager:<module>:12 - LLM initialized successfully: gemini-2.5-flash
2026-04-17 22:09:01.560 | INFO     | __main__:router_node:92 - {'event': 'router_node_started', 'topic': 'AI in data science jobs'}
2026-04-17 22:09:06.270 | INFO     | __main__:router_node:106 - {'event': 'router_llm_response', 'decision': {'need_to_research': True, 'mode': 'hybrid', 'reason': 'The topic involves evergreen concepts of data science but requires up-to-date information on how AI is currently impacting job roles, required skills, and the job market. This includes recent trends, tools, and shifts in demand.', 'queries': ['Impact of AI on data scientist job market trends 2023-2024', 'New AI tools and platforms for data scientists', 'Essential skills for data science professionals in the era of AI', 'How generative AI is changing data science workflows', 'Emerging data science roles influenced by AI advancements', 'Challenges and opportunities for data scientists with AI integration', 'AI ethics and governance in data science jobs'], 'max_result_per_query': 7}}
2026-04-17 22:09:06.270 | SUCCESS  | __main__:router_node:121 - {'event': 'router_node_success', 'topic': 'AI in data science jobs', 'mode': 'hybrid', 'need_to_research': True, 'queries_count': 7, 'duration_sec': 4.71}
2026-04-17 22:09:06.272 | INFO     | __main__:research_node:165 - {'event': 'research_node_started', 'topic': 'AI in data science jobs', 'queries_count': 7}
2026-04-17 22:09:06.272 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'Impact of AI on data scientist job market trends 2023-2024'}
2026-04-17 22:09:06.272 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'Impact of AI on data scientist job market trends 2023-2024', 'max_results': 5}
2026-04-17 22:09:10.799 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'Impact of AI on data scientist job market trends 2023-2024', 'results_count': 4, 'duration_sec': 4.53}
2026-04-17 22:09:10.799 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'Impact of AI on data scientist job market trends 2023-2024', 'results_count': 4}
2026-04-17 22:09:10.799 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'New AI tools and platforms for data scientists'}
2026-04-17 22:09:10.800 | INFO     | app.services.web_search.search_tools:_duckduckgo_search:68 - {'event': 'duckduckgo_news_search_started', 'query': 'New AI tools and platforms for data scientists', 'max_results': 5}
2026-04-17 22:09:12.455 | SUCCESS  | app.services.web_search.search_tools:_duckduckgo_search:96 - {'event': 'duckduckgo_news_success', 'query': 'New AI tools and platforms for data scientists', 'results_count': 4, 'duration_sec': 1.66}
2026-04-17 22:09:12.456 | INFO     | __main__:research_node:183 - {'event': 'search_query_completed', 'query': 'New AI tools and platforms for data scientists', 'results_count': 4}
2026-04-17 22:09:12.456 | INFO     | __main__:research_node:176 - {'event': 'search_query_started', 'query': 'Essential skills for data science professionals in the era of AI'}
